reviewId,content,sentimentScore
fe824ce8-acc8-4388-afed-e159dcc905cc,perfect app!,5
ea4068cb-06a5-4bfd-9d08-9faabf79ef2a,It is purely the best :red_heart:,5
9d1dfaef-4739-4e5b-8af7-bdded1f21ad3,This app is so good. It helped me a lot and people on this app are such a pure soul.,5
f79a66fa-7c56-470e-b588-8da68b6d6873,This is the best app I have ever installed,5
d5a6e0d2-7da7-48d7-8a23-53ea0db4aa73,"So far the best habit and goal app I've used... :smiling_face_with_open_hands: Although if they had a web app for this, It'd be really helpful. Thank you.",5
427f26cc-9709-4965-92c5-d69338b87e78,love it!,5
bbc6696f-01dd-47de-b855-7c2aac5fb4fc,Amazing app for those can't pay attention to goals and tend to be disturbed,5
2cc25ea9-d195-4bae-96e1-8a9fa3997e1d,"Very Useful , And It made me gain new knowledge. I recommend everyone to try this for atleast a month and you'll fall in love with this app. Thank You Dreamfora",5
44cd71c3-bdf7-497e-9d11-eecc6ce72234,its so much fun,5
07df1772-870d-4f9f-a774-616f15240ab8,amazing....:melting_face:,5
168fec6c-1c37-4e9e-bbfc-f776e416420d,Great,5
cdb53679-ad5d-4af0-8710-1da68b527012,"so great , good enjoy every one i recommended",5
e51dc8e6-3158-4ad8-b96c-64efc7dd6f47,great app I like it,5
5ed66788-dada-499f-b000-20df6062647c,"It's honestly simple and intuitive. I also like how you can either generate and AI goal, a present goal or manual goal. it helps you save time in the short term and long term goals. Great app so far.",5
8874ae6b-74db-4374-b81b-8b18b11562d4,I'm happy I found this app.,5
5d015d14-619b-47c8-998c-19f83f324231,This app is amazing! Thank you so much!,5
62b941bd-9b2b-4b94-8dba-0f7a3fd07273,Helpful,5
0295f818-c379-47bc-a262-4ec55b6f44ff,"Pretty cute and very helpful, I loved!",5
ac32df2f-68a0-4a26-a8a1-d67afa4d1982,This is a great app. Glad the devs created this really helpful. Thank you so much,5
