reviewId,content,sentimentScore
e9588398-759d-42f8-8253-2f8f19da72f0,great :thumbs_up::thumbs_up:,5
8fdae359-1338-4ea4-bd82-b09f1ef11d57,my first time changing my life style soo yeahh,5
0b18bb53-d522-47f3-b1e3-46d07a3f54f6,fabulous,5
e9aa2b56-5fed-4c5d-89d4-66f4a1192f7b,It's a great app that helps me have the perfect daily routine,5
bd467012-6efe-4443-bee7-4f1c580352ee,It supports me through my day,5
1f8cc1f8-1c0c-447d-a21c-d11b8b3b8eb1,Really aesthetic and great at making cute routines!,5
c9927c43-56b8-4dcf-9740-4836e919482a,Awesome :red_heart:,5
d693c1ac-b2f9-4876-8782-d8b633718e58,it's very great I feel I have chance to change my life,5
3c219dba-4c3c-4056-b3a2-26f1363d7fc3,me+ is a good and solid to download it was really good I cannot forget what i need to do because me+ us there! so download me+,5
e8acead3-9a20-4e0c-a5c4-42654808e208,عالی,5
0ef9ca14-b1c5-4037-a9b7-8290fc378bf6,I love this app so much it improve my health:),5
be3720a6-1e5d-4586-adf2-7b35b9a59ca4,wonderful application,5
69e41c28-faaa-4a1a-82e0-2167bfd31249,"Helps me stay on task, and I love the sleep app attached. it records, tracks, and plots your sleep. You can hear if you snore!",5
b4e077bd-5580-41c4-be8c-078b369586ee,:heart_suit: Great app.,5
9dd74a41-7654-4a81-a541-0ca13cc5d57d,best application,5
4b937460-f8c1-4e5d-996d-e4d1328f3eeb,I like this app:folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone:,5
ecc78063-51c8-4fd6-bf3c-e82950e1fec8,Great,5
4d8ed583-9deb-4a23-b501-b206cd51d2a7,Me encanta :smiling_face:,5
e3b9f067-4710-4edf-b1c5-3e8db12a312d,very very good,5
1b6346ff-dd01-452c-90c5-429aa06211af,it is an amazing and wonderfull app,5
0641fc6a-31c9-45fc-a4a7-b00835fa0d77,"I really love this app, thanks to it I have a more balanced life.",5
aec0066f-2196-4c9a-ab18-ec59a395ced4,I love this app because it is so good and it's like it has everything and you can tell everything or write anything about my day and ect but I love it we need more apps like this:smiling_face_with_hearts::red_heart::orange_heart::face_blowing_a_kiss:,5
df0602ae-9951-4d3d-8fca-3b8ad5fdf6f4,it help improve my life,5
0d3fbef6-ba3c-4757-b884-c87adc2e85f7,easy to use. A very helpful app.,5
96eecaf8-d521-466b-a9fe-c7e2051f229a,"Smooth interface, and comprehensive.",5
cb0ec76c-15bb-46e6-b7b6-4519f5e0ede6,Best app ever,5
d2c1d162-dd4a-4c73-b595-5c9d00b45084,I love it:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,5
78beb50e-dbc9-40b0-9593-b3112b71d565,I love this app and how it has helped me stick to the routines I plan,5
1ed8f84a-2ec3-48cf-b0d4-06c609e0c650,I love it so much!,5
9ca97c36-e0df-4b14-bb3e-1dcc33911530,such a great app:sparkles::check_mark_button:,5
3354f496-5270-4b9c-bd7b-8b6a04640bb3,Perfect:growing_heart::new_moon_face::loudly_crying_face:,5
f5deefa8-fb73-4220-af21-9715220b8b20,great platform to change,5
61433930-6d2e-47cb-99b3-c66c58528348,"Great app! Simple, User Friendly and Cute!",5
b688ede6-ff2d-4e0d-99c2-dcd5886bcafb,this is a really great app to stay organised I've added a widget of my to do liat on my home screen so it reminds me that I've work to do and I just loved it's aesthetics cute hand handy,5
d297778a-38bd-4dff-bdc0-54373fb6eb99,It really assess,5
39437027-d994-49a5-b1f8-889fdf14d48c,Really good love it so muchhh totally recommended. I improved so much I love this app,5
427056f5-c986-46a4-9e57-a96a8069bdbb,loveeeee this APP!:ribbon:,5
531d5b03-83cb-4d54-b470-4de5f3bba311,best app of my lif3,5
417e4a09-8134-43d8-9b7a-78ae079f21bc,"muito bom, faz tempo que procurava um app assim, exatamente o que queria",5
be7ea642-685f-415f-9328-fcd498ab5080,Love it,5
64262b62-1015-43dd-8baa-9d4a6b6ba312,I really love it :heart_decoration:,5
b3c668fa-fa2f-4771-9d2e-8fc0a3aab11d,I have just started using this app. will review again once I use it for a while,5
2c8bff3e-dcdd-4af9-880c-5378d3f92d79,very useful,5
387c6183-f00d-4662-84d5-0125dad3d6e8,Thank you so much guys for your help :red_heart:,5
70ceafed-d65c-45ee-9ee4-3083ebf24195,Really amazing App. One of the finest you can ever have for self development,5
a1c7d857-91c6-43cb-88d3-35675b3f6daa,I'm really happy that I found this app because it's remind me what I am gonna do,5
a20225de-e477-4806-b8bd-100861c4f06a,"just downloaded, so far so good.",5
4c545148-a4da-4cb0-9543-a45ff2562333,This app helps me so much try this app it haves description but its free too download it so you can have a beter with me,5
d759c31f-be0e-4822-a9a1-0bdf16ebbfce,Love this app! so convenient! It's a must try.,5
6976ae13-c263-4ab1-86f9-86873624c5b1,perfect :thumbs_up:,5
318fc5c1-3457-469d-83df-5747b3551f97,Perfect app,5
1937eac6-5fe3-4f5c-afc7-e3f583aeb935,Very good app.... ;),5
2104e084-b2b7-4251-8d3f-e7bab38ed29b,Love it!,5
0055b240-b723-4fb0-ada7-1a6e4d7e2e4a,very dynamic app,5
2671ef4f-f492-4dd9-8d4c-873330afa87f,I love it because my bad habits are improving :smiling_face_with_heart-eyes::growing_heart:,5
584b2a2a-4cb0-42fa-b648-b7d5c697106e,This app is rlly good and i love using on my daily routine.It keeps me organized and I also love that you can customize the color and emojis.Overall the best routine app I've ever tried!Keep it up!,5
a86b662b-129a-4c17-8b10-92b0d11a0714,Excellent!!!,5
fed99cf3-eced-4a8b-b174-e1eb1ee7ca66,Super,5
b51d304b-1380-4393-8c9b-89f9cc0a45a3,"Always Using This , Simple And User Friendly . Best Thing We Can Repeat All Our Routine For Everyday",5
5b2aca53-8580-4b2d-b37f-8af39cc3ecaa,Nice. This makes me so tidy and makes me feel way better.,5
d98bc5b6-9b7a-48fa-b3e0-627b508b567e,very good,5
5ff7bf10-3ac6-4a70-be35-90b9a6190b9e,This app is so lovely with free feature also stunning colors and fonts I actually found this app useful :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: highly recommend:sparkling_heart::sparkling_heart::sparkling_heart:,5
a0b8146d-3ace-4e2f-a005-d3d22faf96ad,like this,5
69572451-a6fb-427c-b38e-d3a0cc84f0ec,it's so nice !,5
496df58c-3352-4913-960e-8aac5523ddfd,the best app,5
e3469527-fc01-4e0a-a546-7ad99a2a4257,great,5
5c1506f4-d6de-479e-a4d2-21a9a18509fd,I just love it:growing_heart::purple_heart:,5
fb9e97bf-9797-405e-b77f-fcf00cd414c1,it amazing :star-struck: I rlly love this app and I feel very motivated already. 10/10,5
0b5a3d7b-f955-42c6-968f-ec11a0f21225,"Amazing app, can't wait to continue this lifestyle!",5
413296cf-335e-48ed-aff9-041bd899f22d,Love the app,5
0b7adb9b-543f-4278-a01f-7b11f4a59c00,Very satisfied,5
36f1e1d8-22f1-48bf-bb3b-9799acd36ba4,thanks for the amazing platform :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,5
5d903f7d-4f6e-4a9e-9edf-9f39b08d3f1f,it is an excellent app .my friend suggested this app I thought it is very bad and not good but I love itt . please install itttt,5
