app_name,app_id
habitica-gamified-taskmanager,id994882113
productive-habit-tracker,id983826477
streaks,id963034692
habitminder-habit-tracker,id1253577148
habit-tracker,id1438388363
ticktick-to-do-list-calendar,id626144601
habitify-habit-tracker,id1111447047
notion-notes-tasks-ai,id1232780281
habitshare-habit-tracker,id1048191045
fabulous-daily-habit-tracker,id1203637303
habit-bull-daily-goal-planner,id1041482672
looped-habit-tracker,id6473401972
todoist-to-do-list-calendar,id572688855
microsoft-to-do,id1212616790
minimalist-to-do-list-widget,id993066159
do-simple-to-do-list,id421819675
to-do-list-widget,id1532165568
smart-tasks-lists-made-easy,id1498145730
structured-daily-planner,id1499198946
lists-to-do,id571626623
forest-focus-for-productivity,id866450515
flora-green-focus,id1225155794
habit-tracker-thefor,id1671322093
any-do-to-do-list-planner,id497328576
google-tasks,com.google.android.apps.tasks
Me+ Daily Routine Planner,daily.planner.routine.habits
ColorNote Notepad Notes To do,com.socialnmobile.dictapps.notepad.color.note
WaterDo:To Do List & Schedule,com.seekrtech.waterapp
Engross: Focus Timer & To-Do,com.engross
Minimalist Pomodoro Timer,com.apps.adrcotfas.goodtime
Timelog - Goal & Time Tracker,dev.giall.timelo
SaveMyTime - Time Tracker,com.godmodev.optime
Sectograph. Day & Time planner,prox.lab.calclock
Timelog - Goal & Time Tracker,dev.giall.timelog
Prosper - Daily Planner To do,com.prosper.routines.todo.productive.fabulous.habits.selfcare
N Calendar - Simple planner,com.komorebi.n.calendar
